Kullanici Kimligi,Cinsiyet,Yas,Tahmini Maas,Satin alinmis mi
15624510,Erkek,19,19000,0
15810944,Erkek,35,20000,0
15668575,Kad?n,26,43000,0
15603246,Kad?n,27,57000,0
15804002,Erkek,19,76000,0
15728773,Erkek,27,58000,0
15598044,Kad?n,27,84000,0
15694829,Kad?n,32,150000,1
15600575,Erkek,25,33000,0
15727311,Kad?n,35,65000,0
15570769,Kad?n,26,80000,0
15606274,Kad?n,26,52000,0
15746139,Erkek,20,86000,0
15704987,Erkek,32,18000,0
15628972,Erkek,18,82000,0
15697686,Erkek,29,80000,0
15733883,Erkek,47,25000,1
15617482,Erkek,45,26000,1
15704583,Erkek,46,28000,1
15621083,Kad?n,48,29000,1
15649487,Erkek,45,22000,1
15736760,Kad?n,47,49000,1
15714658,Erkek,48,41000,1
15599081,Kad?n,45,22000,1
15705113,Erkek,46,23000,1
15631159,Erkek,47,20000,1
15792818,Erkek,49,28000,1
15633531,Kad?n,47,30000,1
15744529,Erkek,29,43000,0
15669656,Erkek,31,18000,0
15581198,Erkek,31,74000,0
15729054,Kad?n,27,137000,1
15573452,Kad?n,21,16000,0
15776733,Kad?n,28,44000,0
15724858,Erkek,27,90000,0
15713144,Erkek,35,27000,0
15690188,Kad?n,33,28000,0
15689425,Erkek,30,49000,0
15671766,Kad?n,26,72000,0
15782806,Kad?n,27,31000,0
15764419,Kad?n,27,17000,0
15591915,Kad?n,33,51000,0
15772798,Erkek,35,108000,0
15792008,Erkek,30,15000,0
15715541,Kad?n,28,84000,0
15639277,Erkek,23,20000,0
15798850,Erkek,25,79000,0
15776348,Kad?n,27,54000,0
15727696,Erkek,30,135000,1
15793813,Kad?n,31,89000,0
15694395,Kad?n,24,32000,0
15764195,Kad?n,18,44000,0
15744919,Kad?n,29,83000,0
15671655,Kad?n,35,23000,0
15654901,Kad?n,27,58000,0
15649136,Kad?n,24,55000,0
15775562,Kad?n,23,48000,0
15807481,Erkek,28,79000,0
15642885,Erkek,22,18000,0
15789109,Kad?n,32,117000,0
15814004,Erkek,27,20000,0
15673619,Erkek,25,87000,0
15595135,Kad?n,23,66000,0
15583681,Erkek,32,120000,1
15605000,Kad?n,59,83000,0
15718071,Erkek,24,58000,0
15679760,Erkek,24,19000,0
15654574,Kad?n,23,82000,0
15577178,Kad?n,22,63000,0
15595324,Kad?n,31,68000,0
15756932,Erkek,25,80000,0
15726358,Kad?n,24,27000,0
15595228,Kad?n,20,23000,0
15782530,Kad?n,33,113000,0
15592877,Erkek,32,18000,0
15651983,Erkek,34,112000,1
15746737,Erkek,18,52000,0
15774179,Kad?n,22,27000,0
15667265,Kad?n,28,87000,0
15655123,Kad?n,26,17000,0
15595917,Erkek,30,80000,0
15668385,Erkek,39,42000,0
15709476,Erkek,20,49000,0
15711218,Erkek,35,88000,0
15798659,Kad?n,30,62000,0
15663939,Kad?n,31,118000,1
15694946,Erkek,24,55000,0
15631912,Kad?n,28,85000,0
15768816,Erkek,26,81000,0
15682268,Erkek,35,50000,0
15684801,Erkek,22,81000,0
15636428,Kad?n,30,116000,0
15809823,Erkek,26,15000,0
15699284,Kad?n,29,28000,0
15786993,Kad?n,29,83000,0
15709441,Kad?n,35,44000,0
15710257,Kad?n,35,25000,0
15582492,Erkek,28,123000,1
15575694,Erkek,35,73000,0
15756820,Kad?n,28,37000,0
15766289,Erkek,27,88000,0
15593014,Erkek,28,59000,0
15584545,Kad?n,32,86000,0
15675949,Kad?n,33,149000,1
15672091,Kad?n,19,21000,0
15801658,Erkek,21,72000,0
15706185,Kad?n,26,35000,0
15789863,Erkek,27,89000,0
15720943,Erkek,26,86000,0
15697997,Kad?n,38,80000,0
15665416,Kad?n,39,71000,0
15660200,Kad?n,37,71000,0
15619653,Erkek,38,61000,0
15773447,Erkek,37,55000,0
15739160,Erkek,42,80000,0
15689237,Erkek,40,57000,0
15679297,Erkek,35,75000,0
15591433,Erkek,36,52000,0
15642725,Erkek,40,59000,0
15701962,Erkek,41,59000,0
15811613,Kad?n,36,75000,0
