Kullanici Kimligi,Cinsiyet,Yas,Tahmini Maas,Satin alinmis mi
15624510,Erkek,19,19000,0
15810944,Erkek,35,20000,0
15668575,Kadin,26,43000,0
15603246,Kadin,27,57000,0
15804002,Erkek,19,76000,0
15728773,Erkek,27,58000,0
15598044,Kadin,27,84000,0
15694829,Kadin,32,150000,1
15600575,Erkek,25,33000,0
15727311,Kadin,35,65000,0
15570769,Kadin,26,80000,0
15606274,Kadin,26,52000,0
15746139,Erkek,20,86000,0
15704987,Erkek,32,18000,0
15628972,Erkek,18,82000,0
15697686,Erkek,29,80000,0
15733883,Erkek,47,25000,1
15617482,Erkek,45,26000,1
15704583,Erkek,46,28000,1
15621083,Kadin,48,29000,1
15649487,Erkek,45,22000,1
15736760,Kadin,47,49000,1
15714658,Erkek,48,41000,1
15599081,Kadin,45,22000,1
15705113,Erkek,46,23000,1
15631159,Erkek,47,20000,1
15792818,Erkek,49,28000,1
15633531,Kadin,47,30000,1
15744529,Erkek,29,43000,0
15669656,Erkek,31,18000,0
15581198,Erkek,31,74000,0
15729054,Kadin,27,137000,1
15573452,Kadin,21,16000,0
15776733,Kadin,28,44000,0
15724858,Erkek,27,90000,0
15713144,Erkek,35,27000,0
15690188,Kadin,33,28000,0
15689425,Erkek,30,49000,0
15671766,Kadin,26,72000,0
15782806,Kadin,27,31000,0
15764419,Kadin,27,17000,0
15591915,Kadin,33,51000,0
15772798,Erkek,35,108000,0
15792008,Erkek,30,15000,0
15715541,Kadin,28,84000,0
15639277,Erkek,23,20000,0
15798850,Erkek,25,79000,0
15776348,Kadin,27,54000,0
15727696,Erkek,30,135000,1
15793813,Kadin,31,89000,0
15694395,Kadin,24,32000,0
15764195,Kadin,18,44000,0
15744919,Kadin,29,83000,0
15671655,Kadin,35,23000,0
15654901,Kadin,27,58000,0
15649136,Kadin,24,55000,0
15775562,Kadin,23,48000,0
15807481,Erkek,28,79000,0
15642885,Erkek,22,18000,0
15789109,Kadin,32,117000,0
15814004,Erkek,27,20000,0
15673619,Erkek,25,87000,0
15595135,Kadin,23,66000,0
15583681,Erkek,32,120000,1
15605000,Kadin,59,83000,0
15718071,Erkek,24,58000,0
15679760,Erkek,24,19000,0
15654574,Kadin,23,82000,0
15577178,Kadin,22,63000,0
15595324,Kadin,31,68000,0
15756932,Erkek,25,80000,0
15726358,Kadin,24,27000,0
15595228,Kadin,20,23000,0
15782530,Kadin,33,113000,0
15592877,Erkek,32,18000,0
15651983,Erkek,34,112000,1
15746737,Erkek,18,52000,0
15774179,Kadin,22,27000,0
15667265,Kadin,28,87000,0
15655123,Kadin,26,17000,0
15595917,Erkek,30,80000,0
15668385,Erkek,39,42000,0
15709476,Erkek,20,49000,0
15711218,Erkek,35,88000,0
15798659,Kadin,30,62000,0
15663939,Kadin,31,118000,1
15694946,Erkek,24,55000,0
15631912,Kadin,28,85000,0
15768816,Erkek,26,81000,0
15682268,Erkek,35,50000,0
15684801,Erkek,22,81000,0
15636428,Kadin,30,116000,0
15809823,Erkek,26,15000,0
15699284,Kadin,29,28000,0
15786993,Kadin,29,83000,0
15709441,Kadin,35,44000,0
15710257,Kadin,35,25000,0
15582492,Erkek,28,123000,1
15575694,Erkek,35,73000,0
15756820,Kadin,28,37000,0
15766289,Erkek,27,88000,0
15593014,Erkek,28,59000,0
15584545,Kadin,32,86000,0
15675949,Kadin,33,149000,1
15672091,Kadin,19,21000,0
15801658,Erkek,21,72000,0
15706185,Kadin,26,35000,0
15789863,Erkek,27,89000,0
15720943,Erkek,26,86000,0
15697997,Kadin,38,80000,0
15665416,Kadin,39,71000,0
15660200,Kadin,37,71000,0
15619653,Erkek,38,61000,0
15773447,Erkek,37,55000,0
15739160,Erkek,42,80000,0
15689237,Erkek,40,57000,0
15679297,Erkek,35,75000,0
15591433,Erkek,36,52000,0
15642725,Erkek,40,59000,0
15701962,Erkek,41,59000,0
15811613,Kadin,36,75000,0
15741049,Erkek,37,72000,0
15724423,Kadin,40,75000,0
15574305,Erkek,35,53000,0
